,yyyy_mm_dd,mm_dd,patient_county,mem_cnt,covid_mem_cnt
0,2020-03-24,03-24,Hampden,9,0.0
1,2020-03-24,03-24,Norfolk,19,0.0
2,2020-03-24,03-24,Plymouth,10,0.0
3,2020-03-24,03-24,Essex,13,2.0
4,2020-03-24,03-24,Worcester,15,1.0
5,2020-03-24,03-24,Bristol,20,0.0
6,2020-03-24,03-24,Suffolk,8,0.0
7,2020-03-24,03-24,Hampshire,4,0.0
8,2020-03-24,03-24,Middlesex,23,1.0
9,2020-03-24,03-24,Berkshire,1,0.0
10,2020-03-24,03-24,Franklin,3,0.0
11,2020-03-23,03-23,Franklin,2,0.0
12,2020-03-23,03-23,Berkshire,1,0.0
13,2020-03-23,03-23,Worcester,10,0.0
14,2020-03-23,03-23,Barnstable,1,0.0
15,2020-03-23,03-23,Suffolk,6,0.0
16,2020-03-23,03-23,Hampden,6,0.0
17,2020-03-23,03-23,Hampshire,3,0.0
18,2020-03-23,03-23,Plymouth,8,0.0
19,2020-03-23,03-23,Middlesex,23,1.0
20,2020-03-23,03-23,Essex,8,0.0
21,2020-03-23,03-23,Bristol,15,0.0
22,2020-03-23,03-23,Norfolk,11,0.0
23,2020-03-22,03-22,Hampden,15,0.0
24,2020-03-22,03-22,Worcester,17,1.0
25,2020-03-22,03-22,Franklin,3,0.0
26,2020-03-22,03-22,Essex,7,0.0
27,2020-03-22,03-22,Hampshire,4,0.0
28,2020-03-22,03-22,Bristol,17,0.0
29,2020-03-22,03-22,Norfolk,17,0.0
30,2020-03-22,03-22,Berkshire,1,0.0
31,2020-03-22,03-22,Suffolk,8,0.0
32,2020-03-22,03-22,Plymouth,9,0.0
33,2020-03-22,03-22,Middlesex,21,1.0
34,2020-03-21,03-21,Plymouth,9,0.0
35,2020-03-21,03-21,Hampshire,4,0.0
36,2020-03-21,03-21,Middlesex,31,1.0
37,2020-03-21,03-21,Worcester,29,2.0
38,2020-03-21,03-21,Norfolk,19,0.0
39,2020-03-21,03-21,Essex,12,0.0
40,2020-03-21,03-21,Hampden,4,0.0
41,2020-03-21,03-21,Bristol,17,1.0
42,2020-03-21,03-21,Franklin,4,0.0
43,2020-03-21,03-21,Suffolk,13,2.0
44,2020-03-20,03-20,Essex,9,0.0
45,2020-03-20,03-20,Middlesex,28,1.0
46,2020-03-20,03-20,Norfolk,13,0.0
47,2020-03-20,03-20,Bristol,18,1.0
48,2020-03-20,03-20,Berkshire,1,0.0
49,2020-03-20,03-20,Suffolk,9,0.0
50,2020-03-20,03-20,Hampden,12,0.0
51,2020-03-20,03-20,Worcester,25,0.0
52,2020-03-20,03-20,Franklin,7,0.0
53,2020-03-20,03-20,Hampshire,5,0.0
54,2020-03-20,03-20,Barnstable,2,0.0
55,2020-03-20,03-20,Plymouth,7,0.0
56,2020-03-19,03-19,Hampshire,1,0.0
57,2020-03-19,03-19,Plymouth,14,0.0
58,2020-03-19,03-19,Suffolk,5,0.0
59,2020-03-19,03-19,Essex,12,0.0
60,2020-03-19,03-19,Norfolk,16,0.0
61,2020-03-19,03-19,Bristol,21,0.0
62,2020-03-19,03-19,Middlesex,31,3.0
63,2020-03-19,03-19,Hampden,16,0.0
64,2020-03-19,03-19,Franklin,5,0.0
65,2020-03-19,03-19,Worcester,36,0.0
66,2020-03-18,03-18,Worcester,31,0.0
67,2020-03-18,03-18,Franklin,3,0.0
68,2020-03-18,03-18,Hampshire,2,0.0
69,2020-03-18,03-18,Bristol,27,0.0
70,2020-03-18,03-18,Plymouth,8,0.0
71,2020-03-18,03-18,Norfolk,9,0.0
72,2020-03-18,03-18,Middlesex,22,0.0
73,2020-03-18,03-18,Hampden,9,0.0
74,2020-03-18,03-18,Essex,13,0.0
75,2020-03-18,03-18,Suffolk,9,0.0
76,2020-03-17,03-17,Worcester,23,0.0
77,2020-03-17,03-17,Plymouth,18,0.0
78,2020-03-17,03-17,Norfolk,28,0.0
79,2020-03-17,03-17,Hampden,13,0.0
80,2020-03-17,03-17,Suffolk,14,0.0
81,2020-03-17,03-17,Hampshire,3,0.0
