,ENCOUNTER_FACILITY_NAME,ENCOUNTER_FACILITY_STREET,ENCOUNTER_FACILITY_CITY,ENCOUNTER_FACILITY_STATE,ENCOUNTER_FACILITY_ZIP,facility_county,yyyy_mm_dd,mm_dd,mem_cnt
0,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-14,01-14,6
1,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-21,01-21,2
2,Apple Valley Center,400 Groton Road,Ayer,MA,01432,Middlesex,2020-03-20,03-20,1
3,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-11,03-11,2
4,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-18,01-18,8
5,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-03,01-03,4
6,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-20,01-20,3
7,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-11,02-11,4
8,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-03,03-03,3
9,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-02,03-02,3
10,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-27,01-27,2
11,Apple Valley Center,400 Groton Road,Ayer,MA,01432,Middlesex,2020-02-06,02-06,1
12,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-06,01-06,1
13,Apple Valley Center,400 Groton Road,Ayer,MA,01432,Middlesex,2020-01-25,01-25,1
14,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-25,02-25,4
15,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-05,03-05,4
16,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-16,02-16,2
17,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-13,01-13,8
18,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-28,01-28,3
19,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-24,01-24,2
