,Completed_Quarantine,Current_Quarantine,Day,Total_Quarantined,Unnamed: 0,Unnamed: 0.1
0,470,249,3-6,719,0.0,0.0
1,470,249,3-7,719,1.0,1.0
2,470,249,3-8,719,2.0,2.0
3,470,249,3-9,719,3.0,3.0
4,638,445,3-10,1083,4.0,4.0
5,638,445,3-11,1083,5.0,5.0
6,638,445,3-12,1083,6.0,6.0
7,638,445,3-13,1083,7.0,7.0
8,638,445,3-14,1083,8.0,8.0
9,638,445,3-15,1083,9.0,9.0
10,638,445,3-16,1083,10.0,10.0
11,886,1168,3-17,2054,11.0,11.0
12,886,1168,3-18,2054,12.0,12.0
13,886,1168,3-19,2054,13.0,13.0
14,886,1168,3-20,2054,14.0,14.0
15,886,1168,3-21,2054,15.0,15.0
16,886,1168,3-22,2054,16.0,16.0
17,886,1168,3-23,2054,17.0,17.0
18,1655,2147,3-24,3802,18.0,18.0
19,1655,2147,3-25,3802,19.0,19.0
20,1655,2147,3-26,3802,20.0,20.0
21,1655,2147,3-27,3802,21.0,21.0
22,1655,2147,3-28,3802,22.0,22.0
23,1655,2147,3-29,3802,23.0,23.0
24,1655,2147,3-30,3802,24.0,24.0
25,1655,2147,3-31,3802,25.0,25.0
26,3218,5176,4-01,8394,26.0,26.0
27,3218,5176,4-02,8394,27.0,27.0
28,3218,5176,4-03,8394,28.0,28.0
29,3218,5176,4-04,8394,29.0,29.0
30,3218,5176,4-05,8394,30.0,30.0
31,3218,5176,4-06,8394,31.0,31.0
32,3218,5176,4-07,8394,32.0,32.0
33,5402,7625,4-08,13027,33.0,33.0
34,5402,7625,4-09,13027,34.0,0.0
35,5402,7625,4-10,13027,0.0,
0,5402,7625,4-11,13027,,
