,Day,County,Confirmed_Cases
0,3-11,Bristol,0
1,3-11,Suffolk,19
2,3-11,Barnstable,0
3,3-11,Norfolk,23
4,3-11,Unknown,0
5,3-11,Worcester,1
6,3-11,Hampden,0
7,3-11,Essex,1
8,3-11,Middlesex,44
9,3-11,Berkshire,7
10,3-11,Plymouth,0
11,3-26,Bristol,90
12,3-26,Suffolk,448
13,3-26,Barnstable,67
14,3-26,Norfolk,292
15,3-26,Unknown,267
16,3-26,Worcester,166
17,3-26,Hampden,55
18,3-26,Essex,247
19,3-26,Middlesex,538
20,3-26,Berkshire,73
21,3-26,Plymouth,138
22,3-21,Bristol,14
23,3-21,Suffolk,108
24,3-21,Barnstable,11
25,3-21,Norfolk,69
26,3-21,Unknown,26
27,3-21,Worcester,24
28,3-21,Hampden,9
29,3-21,Essex,41
30,3-21,Middlesex,177
31,3-21,Berkshire,21
32,3-21,Plymouth,20
33,3-10,Bristol,0
34,3-10,Suffolk,20
35,3-10,Barnstable,0
36,3-10,Norfolk,22
37,3-10,Unknown,0
38,3-10,Worcester,1
39,3-10,Hampden,0
40,3-10,Essex,1
41,3-10,Middlesex,41
42,3-10,Berkshire,7
43,3-10,Plymouth,0
44,3-23,Bristol,25
45,3-23,Suffolk,154
46,3-23,Barnstable,30
47,3-23,Norfolk,82
48,3-23,Unknown,57
49,3-23,Worcester,42
50,3-23,Hampden,15
51,3-23,Essex,73
52,3-23,Middlesex,232
53,3-23,Berkshire,26
54,3-23,Plymouth,32
55,4-02,Bristol,424
56,4-02,Suffolk,1896
57,4-02,Barnstable,283
58,4-02,Norfolk,938
59,4-02,Unknown,270
60,4-02,Worcester,667
61,4-02,Hampden,546
62,4-02,Essex,1039
63,4-02,Middlesex,1870
64,4-02,Berkshire,213
65,4-02,Plymouth,621
66,3-31,Bristol,306
67,3-31,Suffolk,1373
68,3-31,Barnstable,191
69,3-31,Norfolk,738
70,3-31,Unknown,333
71,3-31,Worcester,433
72,3-31,Hampden,354
73,3-31,Essex,784
74,3-31,Middlesex,1340
75,3-31,Berkshire,171
76,3-31,Plymouth,459
77,3-18,Bristol,5
78,3-18,Suffolk,51
79,3-18,Barnstable,2
80,3-18,Norfolk,45
81,3-18,Unknown,4
82,3-18,Worcester,10
83,3-18,Hampden,2
84,3-18,Essex,14
85,3-18,Middlesex,100
86,3-18,Berkshire,17
87,3-18,Plymouth,5
88,3-09,Bristol,0
89,3-09,Suffolk,10
90,3-09,Barnstable,0
91,3-09,Norfolk,10
92,3-09,Unknown,0
93,3-09,Worcester,1
94,3-09,Hampden,0
95,3-09,Essex,0
96,3-09,Middlesex,15
