,Day,yyyy_mm_dd,facility_county,ENCOUNTER_FACILITY_NAME,ENCOUNTER_FACILITY_STREET,ENCOUNTER_FACILITY_CITY,ENCOUNTER_FACILITY_STATE,ENCOUNTER_FACILITY_ZIP,mem_cnt,covid19_related_mem_cnt
0,01-04,2020-01-04,Middlesex,UMass Memorial - Marlborough,159 Union St Suite 103,Marlborough,MA,01752,1,0.0
1,01-09,2020-01-09,Essex,Whittier - Bradford Transitional Care Unit,145 Ward Hill Avenue,Bradford,MA,01835,1,0.0
2,01-09,2020-01-09,Hampshire,Cooley Dickinson Hospital,30 Locust Street (Route 9),Northampton,MA,01061,2,0.0
3,01-13,2020-01-13,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,5,0.0
4,01-14,2020-01-14,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,6,0.0
5,01-15,2020-01-15,Middlesex,Newton-Wellesley Hospital,2014 Washington St,Newton,MA,02462,10,3.0
6,01-16,2020-01-16,Middlesex,Lowell General Saints Campus,1 Hospital Dr,Lowell,MA,01852,1,1.0
7,01-21,2020-01-21,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,6,0.0
8,01-21,2020-01-21,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,4,3.0
9,02-02,2020-02-02,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,3,1.0
10,02-13,2020-02-13,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,6,0.0
11,02-18,2020-02-18,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,3,3.0
12,02-25,2020-02-25,Middlesex,Life Care Center of Acton - SNF,1 Great Rd,Acton,MA,01720,1,1.0
13,02-28,2020-02-28,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,11,2.0
14,03-01,2020-03-01,Bristol,Saint Anne's Hospital,795 Middle St.,Fall River,MA,02721,4,1.0
15,03-04,2020-03-04,Suffolk,Brigham and Women's Faulkner Hospital,1153 Centre St,Boston,MA,02130,1,0.0
16,03-05,2020-03-05,Middlesex,Life Care Center of Nashoba Valley - SNF,191 Foster St,Littleton,MA,01460,1,0.0
17,03-08,2020-03-08,Hampden,Holyoke Medical Center,575 Beech St,Holyoke,MA,01040,2,0.0
18,03-08,2020-03-08,Hampden,Life Care Center of Wilbraham - SNF,2399 Boston Rd,Wilbraham,MA,01095,1,0.0
19,03-09,2020-03-09,Middlesex,Mount Auburn Hospital,330 MOUNT AUBURN ST,CAMBRIDGE,MA,02138,5,2.0
20,03-13,2020-03-13,Bristol,Saint Anne's Hospital,795 Middle St.,Fall River,MA,02721,4,0.0
21,03-20,2020-03-20,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,5,1.0
22,03-21,2020-03-21,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,1,0.0
23,01-01,2020-01-01,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,3,1.0
24,01-21,2020-01-21,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,6,3.0
25,01-22,2020-01-22,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,1,0.0
26,01-27,2020-01-27,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,9,5.0
27,01-28,2020-01-28,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,2,0.0
28,02-06,2020-02-06,Worcester,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,1,0.0
29,02-09,2020-02-09,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,4,0.0
30,02-10,2020-02-10,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,1,0.0
31,02-13,2020-02-13,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,2,0.0
32,02-28,2020-02-28,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,4,2.0
33,03-02,2020-03-02,Worcester,UMass Memorial - HealthAlliance,60 Hospital Rd.,Leominster,MA,01453,1,1.0
34,03-03,2020-03-03,Middlesex,Lowell General Hospital,295 Varnum Avenue,Lowell,MA,01854,3,2.0
35,03-07,2020-03-07,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,4,0.0
36,03-09,2020-03-09,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,1,0.0
